dt,observed,Mercedes_Level_32_1,Mercedes_Level_32_7,Mercedes_Level_32_15,Mercedes_Level_32_30,Mercedes_Level_160_1,Mercedes_Level_160_7,Mercedes_Level_160_15,Mercedes_Level_160_30,Mercedes_Level_224_1,Mercedes_Level_224_7,Mercedes_Level_224_15,Mercedes_Level_224_30,Mercedes_Level_352_1,Mercedes_Level_352_7,Mercedes_Level_352_15,Mercedes_Level_352_30,Mercedes_Level_384_1,Mercedes_Level_384_7,Mercedes_Level_384_15,Mercedes_Level_384_30,Mercedes_Level_480_1,Mercedes_Level_480_7,Mercedes_Level_480_15,Mercedes_Level_480_30
2015-06-09 07:00:00,1.2,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-10 07:00:00,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-11 07:00:00,1.2,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-12 07:00:00,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-13 07:00:00,1.15,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-14 07:00:00,1.1,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-15 07:00:00,1.1,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-16 07:00:00,0.6,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-17 07:00:00,0.6,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-18 07:00:00,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-19 07:00:00,1.7,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-20 07:00:00,1.4,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-21 07:00:00,1.2,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-22 07:00:00,1.3,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-23 07:00:00,1.35,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-24 07:00:00,1.72,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-25 07:00:00,1.32,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-26 07:00:00,1.05,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-27 07:00:00,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-28 07:00:00,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-29 07:00:00,0.87,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30 07:00:00,0.71,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01 07:00:00,1.15,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-02 07:00:00,1.68,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-03 07:00:00,1.52,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-04 07:00:00,1.65,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-05 07:00:00,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-06 07:00:00,1.2,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-07 07:00:00,1.35,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-08 07:00:00,1.37,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-09 07:00:00,1.3,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-10 07:00:00,0.97,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-11 07:00:00,1.45,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-12 07:00:00,1.43,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-13 07:00:00,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-14 07:00:00,1.58,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-15 07:00:00,1.15,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-16 07:00:00,1.55,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-17 07:00:00,1.45,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-18 07:00:00,1.55,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-19 07:00:00,1.12,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-20 07:00:00,1.52,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-21 07:00:00,1.95,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-22 07:00:00,1.98,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-23 07:00:00,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-24 07:00:00,1.9,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-25 07:00:00,1.95,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-26 07:00:00,1.45,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-27 07:00:00,1.28,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-28 07:00:00,1.25,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-29 07:00:00,1.35,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-30 07:00:00,1.52,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-31 07:00:00,1.68,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-01 07:00:00,1.6,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-02 07:00:00,1.6,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-03 07:00:00,1.5,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-04 07:00:00,1.5,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-05 07:00:00,1.48,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-06 07:00:00,1.48,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-07 07:00:00,1.2,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-08 07:00:00,1.85,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-09 07:00:00,1.5,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-10 07:00:00,1.75,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-11 07:00:00,1.8,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-12 07:00:00,1.9,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-13 07:00:00,2.77,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-14 07:00:00,3.32,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-15 07:00:00,4.55,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-16 07:00:00,5.5,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-17 07:00:00,5.78,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-18 07:00:00,5.45,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-19 07:00:00,5.12,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-20 07:00:00,5.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-21 07:00:00,4.95,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-22 07:00:00,4.83,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-23 07:00:00,4.73,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-24 07:00:00,3.8,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-25 07:00:00,3.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-26 07:00:00,1.98,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-27 07:00:00,1.3,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-28 07:00:00,1.87,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-29 07:00:00,1.95,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-30 07:00:00,2.1,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-31 07:00:00,1.98,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01 07:00:00,2.08,,,,,,,,,,,,,,,,,,,,,,,,
